N             Value of pi             Standard deviation 
10          2.8299041148516992        0.4884870888099537 
20          3.4404740932603595        0.5641962234605917 
30          3.1138707235201943        0.6414052444971792 
40          3.041681422503421         0.6872466371843939 
50          3.2766012189497293        0.5675465344077476 
60          3.0489970098270405        0.6675175617857196 
70          3.1058234248443397        0.71699855575595 
80          3.176930116226843         0.6299497458611734 
90          3.1278491718363557        0.7020125058002563 
100         3.0944618706775144        0.7144269182381203 
110         3.1998403946941685        0.6477985855633279 
120         3.115637907280455         0.6367415889431844 
130         3.0440408631900344        0.6725708553057402 
140         3.186451359986701         0.6564900641954059 
150         3.165551618831543         0.6496071484097085 
160         3.1205535173067913        0.6598683147287568 
170         3.1217463470648474        0.6144108462646514 
180         3.2028181736180628        0.6333457764801476 
190         3.110370547237921         0.639589478504125 
200         3.1329606922170647        0.6559853933934351 
210         3.102570031632436         0.6576752542523335 
220         3.1039860274325535        0.6580699573082435 
230         3.1621484770384725        0.6547802725818228 
240         3.1474940990497156        0.636139806414603 
250         3.100639292243414         0.6325646443904323 
260         3.1844435395882407        0.623109752757201 
270         3.167674202769918         0.6544711692908759 
280         3.109480194970574         0.6722202454447674 
290         3.1663313220577534        0.6435111095738683 
300         3.1884156909745243        0.6412652203440504 
310         3.1187543542987886        0.655722218250691 
320         3.2537561114509983        0.6419118899671769 
330         3.1659494144052895        0.6364805032745479 
340         3.1347098277316583        0.6702759484708604 
350         3.128788719438419         0.6450417381839039 
360         3.1848993962358962        0.6382473555942724 
370         3.1074176511123106        0.6388359075124724 
380         3.1583329878260646        0.6342489351979355 
390         3.20702599464312          0.6315791393889878 
400         3.1429994272619144        0.6332282654725315 
410         3.0974007849917404        0.6361228682760584 
420         3.1533827705240496        0.639733720834263 
430         3.1345164864191073        0.6111735938150761 
440         3.0840252904703696        0.652751148142698 
450         3.144579240578677         0.6298367934219241 
460         3.151780685480266         0.6413354757504319 
470         3.13022598615937          0.6507831291132318 
480         3.10449067336999          0.6328706273137492 
490         3.130502419198927         0.6500854722621207 
500         3.1446609923886237        0.6444486215803231 
510         3.130927895121891         0.6519948655427368 
520         3.1335707119630234        0.6534020851741913 
530         3.1662732714831114        0.6496252831952762 
540         3.15332363887361          0.6493040150361162 
550         3.148793946895293         0.6359749966874602 
560         3.1471918417259346        0.6435191385154035 
570         3.184075906109316         0.6263690267812031 
580         3.130767571347093         0.6346697997963358 
590         3.158056378539176         0.6476703885181867 
600         3.1619831550752524        0.6442459321802644 
610         3.1712117258626438        0.6393143683323327 
620         3.155110274004052         0.6400693021530053 
630         3.1478957602659867        0.65412354801054 
640         3.1581991243321577        0.6490462551990944 
650         3.0980196932504587        0.6387293801717545 
660         3.1647162137825626        0.6425404884809619 
670         3.134130315684613         0.6421370836381379 
680         3.095799869057582         0.6384854255299407 
690         3.132674910542062         0.661648218575667 
700         3.1440185375483307        0.6415495912759471 
710         3.1503368127561173        0.6344579745521564 
720         3.1477627653440043        0.625770667288072 
730         3.1336771995089703        0.6445293672740656 
740         3.121024494076597         0.6477896826844423 
750         3.1590302328002537        0.6522315920982161 
760         3.116070251981905         0.6548383661293153 
770         3.126621368330411         0.6564856696541691 
780         3.171291634993587         0.6403688485053577 
790         3.1781189297311276        0.6456832542519861 
800         3.10133975044453          0.6534975395652202 
810         3.1413411784050833        0.6385236608231498 
820         3.125004073802529         0.6411347622433965 
830         3.093798521560509         0.6404328994858544 
840         3.156778413600236         0.6324736036488174 
850         3.1512837200716532        0.6306104688955823 
860         3.136631584316597         0.6521315464793924 
870         3.1624828472615163        0.6482663073907704 
880         3.153498607539348         0.6387235378483436 
890         3.1382621077906134        0.6466996339040032 
900         3.1326641158321187        0.6345905731913601 
910         3.098684688610243         0.6493639703093719 
920         3.1188089381363118        0.6433624949702998 
930         3.1465996233339437        0.6367310589923048 
940         3.167987232320289         0.641779681118909 
950         3.16982876583929          0.6406648308653399 
960         3.1609607172993255        0.6590822927795427 
970         3.138415049353566         0.6458457679888062 
980         3.110182780592225         0.6446433741533373 
990         3.1224536260088804        0.642204999515031 
1000        3.1403363680323535        0.6356818552373117 
1010        3.136766374592533         0.6479546438551465 
1020        3.142318280212234         0.6334259032397579 
1030        3.160734795328439         0.6559097419806459 
1040        3.1450343000784122        0.6509400037203874 
1050        3.1277172653234033        0.6480107970299204 
1060        3.110700708997193         0.6561994003009375 
1070        3.136696707350246         0.6385902008717038 
1080        3.1415770208498874        0.646942867191867 
1090        3.187903298492187         0.6431242940192841 
1100        3.162466556807705         0.653219338303547 
1110        3.1269190236388833        0.6438356733324353 
1120        3.1339628403800623        0.6289426359880878 
1130        3.144856110223596         0.639543057224627 
1140        3.1339331600795792        0.6292372996362742 
1150        3.144699891574033         0.644623045859601 
1160        3.105646704381598         0.6365560485989639 
1170        3.148747310446936         0.6476298810684105 
1180        3.1101046127298555        0.6453430543417132 
1190        3.1824529836478397        0.632625212563755 
1200        3.135065392553835         0.6553211853704928 
1210        3.150956517706377         0.6293318684340479 
1220        3.170720612170795         0.6424604271944097 
1230        3.1306425113075287        0.6378158955850135 
1240        3.1312318638579204        0.652550703206131 
1250        3.1577097380248094        0.6461401006037047 
1260        3.157544574898401         0.6325069126590173 
1270        3.124065121628701         0.6462358924027912 
1280        3.1089746272342937        0.6468040091893135 
1290        3.144042483048704         0.649881632523787 
1300        3.1623971973574605        0.6400626618816032 
1310        3.1521166589810607        0.646716560633677 
1320        3.115459307340812         0.6514789691792657 
1330        3.1272871527803106        0.6374131657373073 
1340        3.1506090594427607        0.6389505270315654 
1350        3.1449145412940407        0.6374672121348202 
1360        3.133922614850501         0.6304577501097591 
1370        3.1580145442387466        0.6423186926896824 
1380        3.1364932237731975        0.6503393029073593 
1390        3.146700529699869         0.635387490729916 
1400        3.16197570175388          0.635665256657037 
1410        3.1236045261893852        0.6442635636429137 
1420        3.1442458619528577        0.6491159166913361 
1430        3.133079404012041         0.6422672948673801 
1440        3.1558313159492033        0.6416891038313498 
1450        3.141461877572805         0.6434136726495906 
1460        3.1451405781009263        0.6532361704717886 
1470        3.1287488668107826        0.6466606412147625 
1480        3.133728983330719         0.6449949756322935 
1490        3.161396892537102         0.6382525591182513 
1500        3.1230453602662522        0.6502139298943386 
1510        3.1481667679136165        0.643568494526969 
1520        3.1481392333348626        0.6471911117987761 
1530        3.1765111637168206        0.6440292842051282 
1540        3.170725800865683         0.6319933914541225 
1550        3.1121864461947784        0.6546791358717722 
1560        3.1349358361884407        0.6505605237100925 
1570        3.129385280248849         0.6424166271200804 
1580        3.1127171754238923        0.6397319934663129 
1590        3.130217296962184         0.6475216945497897 
1600        3.1423212147084043        0.6420588888199776 
1610        3.120933612988779         0.6352936818826256 
1620        3.158685454602849         0.6454724710696317 
1630        3.1422752372879854        0.6478161343138941 
1640        3.1398476971902882        0.6468986200175326 
1650        3.138503778385273         0.6455835551234635 
1660        3.1768456090272896        0.6283299075345362 
1670        3.1336305800791138        0.6354496075925289 
1680        3.143136862333252         0.6465356727206409 
1690        3.139588545998596         0.6426617389021526 
1700        3.140113015243744         0.6433038298083321 
1710        3.1111898537878235        0.6468895689973616 
1720        3.129391240232847         0.6510364571187558 
1730        3.124588492729056         0.6508455038772292 
1740        3.122025584272662         0.6459538902369226 
1750        3.13351183621642          0.6486735035478671 
1760        3.135676199856646         0.6449681357929655 
1770        3.142840972430254         0.6475827274460609 
1780        3.1752068125792756        0.6372477964089099 
1790        3.117831284416996         0.6517234345581839 
1800        3.141297997447171         0.6330845927161884 
1810        3.1629686971276905        0.6421327848728925 
1820        3.1611382734018667        0.6393065620464511 
1830        3.1406296606578965        0.6588027578609992 
1840        3.156737849022612         0.6459816739247762 
1850        3.164710293547952         0.6386167680497579 
1860        3.1229905997939422        0.6559536017816806 
1870        3.149050444249881         0.6465028172807231 
1880        3.1360640927507797        0.6409795562851154 
1890        3.162147466195154         0.6429070506987495 
1900        3.1366030761557258        0.644569325931546 
1910        3.1508593678989243        0.6489804713285897 
1920        3.168105658016813         0.6403238434957821 
1930        3.1388414731462397        0.6539011172892132 
1940        3.1502007531271725        0.6337712187868696 
1950        3.1350711017282795        0.6403801050898994 
1960        3.14453721809145          0.6449337635627805 
1970        3.146371487132681         0.6471191305096408 
1980        3.1537859242237003        0.6400521661038624 
1990        3.1405734904477           0.6427239607283312 
2000        3.1458808542047896        0.6454236000689889 
2010        3.125293853302399         0.6488198522935805 
2020        3.1679987313070255        0.6457649528769088 
2030        3.150105112363164         0.643528729038572 
2040        3.1382533508541317        0.6419134405752488 
2050        3.1416248636652857        0.6377019940487182 
2060        3.136055278565326         0.6454256869597371 
2070        3.1537416268883067        0.6326965396927562 
2080        3.167950782465482         0.6424251266828115 
2090        3.1705423839060978        0.638915563054186 
2100        3.1423202941852604        0.643337506728408 
2110        3.1531430238047338        0.6415892071295209 
2120        3.143418489627969         0.649586020452188 
2130        3.162837650008631         0.6404508220000023 
2140        3.131589237662422         0.6511446288127725 
2150        3.138804134506661         0.6441270809484455 
2160        3.1454426940111477        0.6464071383305434 
2170        3.1196414724725487        0.6408106330968878 
2180        3.1416256871124095        0.6440634316015328 
2190        3.145800520516897         0.6499039447870573 
2200        3.1475072968161824        0.6390069111537077 
2210        3.1353450797755475        0.6557921125981873 
2220        3.1528703187830565        0.647549803443395 
2230        3.1540116877837825        0.6483503698679322 
2240        3.1298352171100725        0.6424501327434126 
2250        3.132830949462299         0.6432923355630479 
2260        3.1238775160558307        0.6448645703124933 
2270        3.1605926373613054        0.6454260189458544 
2280        3.138312971681255         0.6477204893778621 
2290        3.144774569881964         0.6438688263054599 
2300        3.151098289010112         0.6480061018592733 
2310        3.1196915957454427        0.6512709175244437 
2320        3.1543586430458217        0.6434169498606056 
2330        3.136577480372059         0.6466568514787957 
2340        3.1251196901201355        0.640624281402745 
2350        3.1312478370927237        0.6509817628702573 
2360        3.1509822891409804        0.6328606179085914 
2370        3.14298425739041          0.6429690766484247 
2380        3.1446075045402195        0.6473148838416003 
2390        3.1326265587262117        0.6420084543178042 
2400        3.1081669238122815        0.6478315757911008 
2410        3.1575029767565335        0.6386165284643188 
2420        3.151337651689389         0.6390701941540186 
2430        3.1438623253106726        0.6424772779316127 
2440        3.1381064436426773        0.6354033087019656 
2450        3.1544805182381928        0.646828052146102 
2460        3.1342274922557           0.6474790969294197 
2470        3.1348133210732745        0.6459721142852974 
2480        3.145373427176852         0.6505933401893051 
2490        3.124063403522828         0.6368077533315754 
2500        3.124566143832546         0.6418655853738351 
2510        3.143708785298593         0.6426475034140321 
2520        3.136496317904366         0.6482822297205781 
2530        3.129822999866636         0.6490561317351445 
2540        3.142530000653548         0.6542067416435912 
2550        3.145181853003978         0.6419771063682674 
2560        3.13987415011275          0.6494198636827566 
2570        3.131949265814741         0.6370567594198778 
2580        3.1237488053067595        0.6446541262938464 
2590        3.143174971288251         0.6423748481243313 
2600        3.1575728369498646        0.6491258224660682 
2610        3.1263399683003312        0.6454203392497235 
2620        3.158402617581964         0.6439827316308375 
2630        3.1187659432263857        0.6413427802023545 
2640        3.148050279030107         0.6457212830027643 
2650        3.142679074482832         0.6540105204438676 
2660        3.1441086211202087        0.6383341676964557 
2670        3.1499749971428628        0.6391086018336127 
2680        3.146120661478277         0.6443174776233317 
2690        3.1272036834334345        0.6374796112816106 
2700        3.153625627561074         0.6406325564258224 
2710        3.150512986135235         0.641410211602227 
2720        3.1225845558109895        0.6355704820206779 
2730        3.1582037966621153        0.6432889176102087 
2740        3.1514325219991957        0.6379858225478855 
2750        3.142533712334425         0.6386392652163012 
2760        3.1415758828161264        0.6332865184979327 
2770        3.1394648676866255        0.6505140769155711 
2780        3.154496267255664         0.6451578886155922 
2790        3.1344573529349926        0.6349922974336307 
2800        3.129366594546396         0.6419420842804242 
2810        3.1357288701616515        0.6471454505470196 
2820        3.14672761075124          0.6431984756882796 
2830        3.156717447748859         0.6402031748836405 
2840        3.1313578563202733        0.6379883657438596 
2850        3.133198968226551         0.6411744146925944 
2860        3.144828763742393         0.6451239769573863 
2870        3.1514574384927214        0.6480098583345988 
2880        3.149066167378835         0.6541394668056615 
2890        3.129431654960519         0.6470899902462748 
2900        3.134591898933664         0.6383448938671776 
2910        3.1403640065832           0.6387465780027732 
2920        3.1440770396229056        0.641495009550015 
2930        3.15247926793143          0.6385552044645316 
2940        3.152769347315534         0.6452758055185354 
2950        3.1322171155857856        0.6456047552203176 
2960        3.1235765117210206        0.644218210947547 
2970        3.1682859719400875        0.6396104704127945 
2980        3.1477543213461385        0.6489531829697391 
2990        3.139135000067733         0.642751817562679 
